0	0	0	760	0	0	0	751	0	0	0	0	804	-16	0	88
12	-98	175	190	0	-17	32	643	0	0	0	0	646	-16	-108	88
24	51	-166	180	0	-3	-5	554	0	0	0	0	513	-18	-196	88
36	24	33	-230	2	2	2	404	0	0	0	0	401	-24	-266	88
54	-28	111	280	2	-2	11	277	0	0	0	0	263	-37	-346	88
66	45	-172	-910	1	0	1	158	0	0	0	0	187	-48	-387	88
75	45	-172	-910	4	4	-16	51	0	0	0	0	153	-54	-403	88
87	-81	151	-380	4	-11	15	-31	0	0	0	0	92	-67	-428	88
105	-67	9	10	5	-3	-14	32	0	0	0	0	11	-89	-459	88
117	-63	111	-110	6	-14	1	15	0	0	0	0	-33	-104	-474	88
135	-89	149	220	3	-31	37	42	0	0	0	0	-91	-128	-494	88
147	-19	13	120	3	-28	31	56	0	0	0	0	-127	-145	-505	88
165	1	27	100	2	-23	27	70	0	0	0	0	-171	-165	-518	88
177	1	27	100	0	-17	27	75	0	0	0	0	-196	-178	-525	88
192	-10	32	-430	0	-13	23	11	0	0	0	0	-223	-194	-529	88
204	-1	-63	-40	0	-10	14	-33	0	0	0	0	-250	-211	-531	88
222	0	26	-30	0	-7	9	-31	0	0	0	0	-287	-236	-532	88
234	-4	-27	-20	0	-5	1	-28	0	0	0	0	-312	-253	-532	88
252	0	0	70	0	-9	4	2	0	0	0	0	-350	-279	-534	88
264	4	-21	-450	0	-6	0	-37	0	0	0	2	-375	-297	-534	88
282	4	-26	70	0	-2	-6	-49	0	0	2	4	-410	-325	-531	88
294	-70	-2	-510	0	-7	-7	-84	0	0	3	6	-431	-343	-529	88
312	-154	-108	-830	-3	-21	-18	-84	0	-2	4	9	-467	-373	-523	88
324	-154	-108	-830	-2	-46	-35	-225	0	-4	5	11	-488	-392	-517	88
342	-88	29	-840	-4	-64	-60	-214	0	-7	7	14	-520	-421	-508	88
360	-88	29	-840	-6	-70	-34	-382	0	-10	9	19	-547	-447	-497	88
378	-56	-83	-1160	-8	-70	-27	-537	0	-13	11	25	-573	-474	-485	88
396	-32	-98	370	-7	-60	-44	-448	0	-16	14	31	-601	-504	-470	88
414	-280	-37	-690	-9	-91	-83	-331	0	-19	17	36	-630	-533	-458	88
432	-48	-24	-920	-12	-96	-67	-470	-3	-25	17	42	-656	-566	-438	88
450	-493	-406	-1140	-16	-151	-121	-437	-6	-32	18	50	-683	-600	-417	88
468	-132	-20	-1070	-18	-174	-124	-613	-9	-39	19	57	-706	-636	-391	88
486	-251	102	-300	-21	-189	-167	-518	-11	-47	21	66	-731	-675	-363	88
504	-329	-544	-790	-26	-220	-216	-551	-14	-56	23	75	-754	-713	-336	88
522	-284	101	-140	-25	-236	-129	-438	-16	-65	23	83	-777	-751	-312	88
540	-318	-274	-350	-34	-271	-166	-402	-19	-75	23	92	-800	-791	-288	88
558	-246	-131	-20	-34	-275	-179	-353	-22	-86	22	101	-820	-825	-269	88
576	-572	-546	-880	-42	-329	-244	-425	-25	-97	20	110	-840	-859	-249	88
606	-311	-244	-340	-53	-378	-256	-178	-33	-119	15	128	-878	-909	-233	88
624	-396	-348	1200	-59	-379	-286	-149	-39	-133	14	139	-904	-942	-221	88
639	-626	-470	300	-60	-404	-309	17	-42	-144	13	148	-922	-959	-219	88
657	-495	-439	450	-68	-441	-344	120	-47	-161	12	162	-946	-976	-218	88
675	-594	-386	270	-73	-464	-363	190	-53	-179	11	177	-965	-987	-218	88
696	-568	-432	640	-78	-485	-378	307	-58	-198	10	192	-982	-991	-224	88
714	-834	-596	640	-83	-557	-423	397	-64	-218	9	207	-1000	-989	-234	88
732	-487	-421	1140	-86	-592	-441	534	-68	-236	9	223	-1018	-982	-248	88
753	-487	-421	1140	-94	-562	-435	697	-74	-254	9	238	-1035	-972	-265	88
771	-766	-504	670	-95	-616	-452	688	-78	-269	11	252	-1049	-962	-282	88
789	-659	-853	530	-99	-650	-539	675	-81	-284	14	267	-1065	-949	-296	88
801	-855	-504	540	-100	-670	-563	648	-83	-292	16	275	-1075	-941	-304	88
813	-739	-668	160	-102	-693	-568	589	-85	-300	18	283	-1083	-933	-311	88
831	-1129	-724	-510	-105	-742	-598	388	-88	-312	21	296	-1092	-925	-312	88
849	-877	-620	-290	-107	-820	-620	166	-91	-324	24	310	-1097	-922	-304	88
873	-907	-818	-510	-111	-842	-639	-105	-95	-337	28	326	-1093	-928	-274	88
897	-805	-894	-610	-111	-868	-705	66	-99	-350	32	341	-1094	-928	-254	88
915	-841	-414	-830	-112	-857	-664	-157	-102	-359	35	353	-1090	-933	-231	88
936	-1088	-735	-30	-115	-922	-757	-53	-105	-368	38	365	-1075	-926	-208	88
954	-1088	-735	-30	-114	-966	-750	-46	-105	-376	41	376	-1060	-926	-175	88
978	-1137	-831	-500	-117	-984	-772	-218	-108	-386	45	388	-1037	-935	-113	88
996	-823	-661	-630	-117	-993	-769	-306	-108	-392	47	395	-1021	-945	-81	88
1014	-1036	-823	-70	-117	-987	-769	-286	-109	-398	46	403	-1006	-954	-57	88
1032	-1043	-841	-580	-114	-1001	-787	-455	-109	-402	44	409	-986	-969	-40	88
1050	-839	-675	-330	-115	-972	-771	-440	-109	-405	41	414	-967	-985	-28	88
1068	-1059	-808	210	-117	-1028	-826	-550	-109	-408	38	417	-929	-987	20	88
1086	-1043	-848	0	-116	-1033	-828	-383	-109	-411	35	419	-884	-975	57	88
1107	-943	-761	220	-118	-997	-807	-223	-109	-414	32	419	-841	-961	86	88
1128	-1307	-1049	40	-120	-1050	-848	-136	-111	-417	28	419	-793	-935	109	88
1146	-832	-803	230	-121	-990	-835	-36	-112	-420	23	419	-742	-902	128	88
1170	-972	-816	980	-111	-969	-812	157	-111	-424	15	418	-680	-855	142	88
1188	-1288	-1068	1780	-104	-1000	-837	459	-108	-426	10	416	-628	-806	129	88
1212	-1075	-801	50	-92	-1063	-857	583	-103	-426	5	415	-556	-739	83	88
1230	-854	-823	10	-81	-1013	-819	613	-97	-424	2	412	-497	-683	59	88
1248	-905	-765	380	-73	-978	-808	518	-90	-421	0	409	-438	-627	42	88
1272	-491	-614	-310	-60	-910	-776	400	-79	-414	0	405	-364	-548	26	88
1290	-993	-1070	440	-51	-912	-808	242	-71	-408	0	401	-301	-486	48	88
1308	-993	-1070	440	-44	-933	-878	294	-63	-401	0	393	-219	-372	81	88
1326	-627	-606	-1690	-39	-879	-840	-71	-56	-393	-1	379	-147	-262	116	88
1344	-756	-1029	-950	-34	-834	-856	-367	-50	-380	-4	358	-89	-177	154	88
1365	-1028	-1142	1000	-31	-818	-862	-318	-44	-362	-7	332	-37	-107	191	88
1383	-665	-697	650	-21	-804	-853	-26	-38	-342	-10	305	10	-49	216	88
1401	-447	-752	-1170	-11	-706	-824	-335	-31	-323	-12	281	50	1	246	88
1422	-484	-414	-920	-6	-656	-738	-421	-23	-301	-15	256	90	44	278	88
1440	-329	-676	10	0	-545	-688	-221	-16	-280	-17	233	129	84	303	88
1458	-311	-425	-690	6	-482	-635	-290	-10	-258	-20	211	166	121	327	88
1476	-142	-169	-570	12	-389	-508	-365	-4	-235	-23	191	199	156	351	88
1497	163	-305	-680	19	-282	-458	-340	1	-211	-25	170	235	190	369	88
1515	-243	-201	-790	23	-228	-419	-150	5	-188	-28	150	272	223	379	88
1533	9	-121	-680	26	-183	-344	-302	8	-166	-31	132	306	257	395	88
1551	9	-121	-680	30	-129	-283	-403	12	-146	-32	116	333	284	409	88
1566	65	5	1380	31	-91	-228	-63	14	-132	-33	107	352	299	408	88
1581	228	-115	980	32	-36	-213	-40	16	-119	-35	99	374	317	411	88
1602	245	116	10	36	2	-153	-137	19	-100	-38	86	409	349	416	88
1620	170	76	-120	36	59	-83	-109	22	-82	-40	72	441	378	419	88
1638	202	-43	1110	37	86	-79	169	25	-64	-41	56	479	406	413	88
1656	256	-147	510	41	121	-78	363	28	-47	-43	39	515	430	402	88
1674	88	57	1080	43	149	-40	393	31	-32	-44	23	552	455	389	88
1686	88	57	1080	46	136	-21	522	33	-22	-46	11	577	470	379	88
1710	398	-79	120	50	208	0	446	37	-3	-50	-11	629	501	358	88
1728	325	234	1450	50	252	10	489	40	8	-53	-28	668	522	341	88
1746	325	234	1450	55	271	70	748	43	20	-54	-45	703	538	320	88
1761	516	313	30	59	287	94	676	45	28	-56	-55	730	549	305	88
1770	516	313	30	59	309	115	611	46	32	-57	-61	742	555	298	88
