6	4231	4287	3844	3707	0	0	1197	-1	-1	-1	0	57	13	-2634	99
30	4355	4423	3761	3560	0	-2	1153	0	0	0	1	87	19	-2637	99
48	4586	4642	3567	3293	0	-4	1122	0	0	0	2	146	32	-2633	99
72	4809	4946	3385	2923	0	-4	1079	1	1	1	3	204	45	-2626	99
84	4891	5099	3313	-3067	0	-5	1052	2	2	2	4	233	55	-2608	99
102	5008	5189	3185	-3204	0	-8	1002	3	4	4	5	261	64	-2589	99
120	5051	5324	3117	-3379	0	-8	951	4	5	5	7	290	74	-2569	99
138	5085	5469	3046	-3596	0	-11	879	6	7	7	9	317	89	-2519	99
162	5114	5573	2985	-3758	0	-13	794	8	10	9	11	344	104	-2487	99
174	5236	5826	-2946	-4083	0	-15	758	9	11	10	12	397	135	-2421	99
201	5237	5983	-2964	-4281	3	-12	657	13	15	13	14	423	150	-2397	99
246	5309	6437	-3063	-4870	10	-14	518	17	20	16	17	498	206	-2297	99
264	5322	6644	-3113	-5160	15	-10	456	20	23	18	18	542	255	-2208	99
276	5298	6809	-3091	-5354	19	-9	417	21	25	19	18	564	279	-2174	99
294	5193	7212	-3022	-5871	25	-9	348	24	28	20	19	599	341	-2067	99
324	4938	7379	2991	-6088	38	-17	216	29	33	22	22	630	407	-1978	99
348	5073	7559	-2922	-6314	47	-12	136	33	37	23	23	647	435	-1941	99
366	5011	7619	2927	-6382	55	-2	92	35	40	24	23	663	465	-1906	99
378	4878	7916	3061	-6690	59	-3	63	36	42	24	23	677	497	-1870	99
396	4850	8068	3088	-6865	62	-3	17	38	44	25	23	706	558	-1806	99
432	4487	8609	3428	-7458	79	7	-50	43	50	25	21	730	668	-1682	99
450	4307	8591	3592	-7423	88	8	-117	46	54	26	21	732	711	-1643	99
468	4324	8903	3573	-7783	104	17	-136	48	58	26	19	770	758	-1586	99
492	4078	9101	3812	-7973	114	29	-189	51	63	27	17	768	843	-1532	99
510	3974	9374	3939	-8240	122	35	-203	52	66	27	15	782	872	-1532	99
552	3249	9393	4514	-8286	145	69	-284	57	76	30	10	718	999	-1358	99
564	3014	9330	4703	-8229	151	76	-313	59	79	30	9	687	1022	-1305	99
582	-3324	9165	5120	-8074	165	86	-356	61	84	31	6	613	1068	-1198	99
600	-3300	9096	5094	-8038	172	94	-405	63	89	33	4	613	1068	-1198	99
627	-3762	8890	5452	-7837	183	123	-458	66	97	35	0	546	1103	-1109	99
645	-4043	8377	5630	-7378	204	144	-528	68	104	38	-1	492	1129	-1031	99
654	-4171	8511	5744	-7539	213	155	-562	70	108	39	-3	461	1142	-986	99
666	-4479	8380	6002	-7401	217	165	-583	70	112	40	-5	420	1158	-935	99
690	-4884	8222	6307	-7219	233	188	-618	71	120	43	-10	343	1183	-841	99
732	-5385	7891	6658	-6879	240	224	-667	71	132	47	-17	246	1207	-725	99
750	-5363	7749	6609	-6720	240	233	-702	71	136	50	-19	229	1210	-708	99
774	-5568	7573	6796	-6518	245	260	-681	69	141	52	-25	178	1219	-667	99
801	-5983	7200	7096	-6141	243	288	-669	66	147	56	-30	102	1228	-592	99
837	-6201	6813	7227	-5755	244	313	-655	62	153	60	-36	18	1232	-516	99
849	-6342	6881	7340	-5834	246	337	-637	59	155	63	-38	-7	1232	-487	99
867	-6637	6753	7614	-5676	241	354	-623	57	158	65	-41	-32	1232	-477	99
891	-6706	6521	7594	-5492	239	369	-609	53	161	68	-45	-95	1228	-407	99
915	-6880	6317	7724	-5287	234	393	-584	49	165	72	-48	-110	1228	-375	99
939	-7070	6153	7859	-5132	225	407	-579	46	168	75	-50	-178	1220	-341	99
957	-7089	5870	7877	-4812	227	431	-540	42	170	77	-54	-192	1218	-354	99
975	-7212	6002	7976	-5018	230	455	-496	38	172	80	-57	-218	1213	-324	99
