0	7290	-3014	-7356	-3619	0	0	-1030	0	-1	-1	0	567	-583	0	88
18	-4022	-3752	-3370	-3583	-41	-50	-10	0	2	-1	0	-51	28	1881	88
36	-4159	-3817	-3225	-3486	-33	13	400	0	2	-3	2	-77	43	1873	88
72	-4685	-3901	3100	-3299	4	-77	260	-4	-2	-4	3	-156	88	1869	88
84	-4771	-3954	3227	-3183	-1	59	1180	-6	-1	-4	3	-179	106	1830	88
126	-5253	-3977	3745	-3030	-38	0	70	-9	-3	-5	2	-253	158	1788	88
549	-9302	3420	8800	-2986	-133	96	440	-134	-44	78	15	-769	961	1094	88
573	-9231	3543	8815	-3084	-305	255	1120	-148	-30	90	12	-767	1001	1048	88
597	-9363	4093	9209	-3510	-402	309	1820	-164	-5	97	12	-747	1125	903	88
615	-9488	4097	9363	-3511	-336	331	240	-172	9	101	10	-758	1154	884	88
639	-9541	4514	9585	-3824	-394	351	1500	-184	23	115	8	-737	1238	777	88
663	-9523	4741	9644	-3976	-434	395	1160	-196	25	130	2	-724	1281	726	88
699	-9505	5680	9923	-4674	-444	323	1560	-215	22	156	-3	-651	1420	537	88
762	-9512	6393	10186	-5160	-344	564	1420	-245	33	197	-15	-598	1573	367	88
798	-9676	6781	10457	-5461	-296	630	750	-256	52	222	-19	-582	1674	280	88
828	-9909	7213	10795	-5805	-367	556	10	-264	64	238	-22	-577	1771	214	88
870	-9587	7403	10544	-6033	-511	619	-400	-282	89	267	-25	-532	1786	137	88
903	-9369	7509	10416	-6048	-360	719	60	-301	94	300	-25	-503	1795	0	88
951	-9540	7255	10475	-5814	-382	619	-870	-316	100	333	-21	-557	1778	0	88
981	-9263	7281	10201	-5875	-572	923	440	-323	105	349	-20	-537	1785	0	88
1011	-9561	7047	10427	-5621	-484	693	-900	-329	108	358	-22	-594	1767	0	88
1059	-9468	6789	10284	-5392	-696	883	-360	-350	122	387	-26	-632	1754	0	88
1083	-9166	6729	9979	-5350	-917	1326	0	-360	119	403	-23	-625	1756	0	88
1107	-9689	6449	10422	-5007	-506	844	-950	-369	113	410	-22	-694	1731	0	88
1131	-9455	6474	10200	-5052	-815	1064	-130	-377	113	421	-21	-690	1732	0	88
1149	-9531	6371	10244	-4944	-791	1033	-840	-379	115	426	-23	-709	1725	0	88
1170	-9574	6258	10258	-4841	-943	1016	-1440	-382	115	430	-20	-739	1712	0	88
1194	-9663	6286	10361	-4848	-645	845	-120	-395	115	439	-20	-730	1716	0	88
1224	-9545	6128	10225	-4700	-670	1142	210	-402	115	449	-17	-739	1712	0	88
1272	-9622	5998	10273	-4608	-620	1075	-830	-410	128	457	-17	-757	1705	0	88
1296	-7895	5941	8649	-4722	-2847	2706	720	-422	125	466	-16	-728	1652	0	88
1320	-9284	5858	9893	-4530	-885	1023	-750	-426	121	475	-11	-757	1638	0	88
1350	-9123	5775	9743	-4480	-1055	1289	-540	-432	120	478	-2	-763	1635	0	88
1371	-9274	5879	9888	-4584	-901	984	-160	-433	121	481	0	-758	1638	0	88
1395	-9398	5492	9945	-4166	-820	1127	-1870	-438	117	485	-2	-813	1611	0	88
1419	-9191	5790	9801	-4451	-1211	1070	130	-444	108	489	-2	-791	1622	0	88
1437	-9293	5529	9871	-4165	-879	1224	-1290	-448	104	489	-1	-811	1612	0	88
1470	-9386	5391	9952	-3997	-633	1246	-1070	-452	103	490	-4	-822	1607	0	88
1497	-9171	5896	9836	-4517	-1096	979	-470	-458	101	489	-7	-776	1628	0	88
1515	-9109	5852	9800	-4456	-705	1249	910	-459	100	487	-6	-747	1642	0	88
1536	-9138	6022	9845	-4639	-1021	905	-1080	-466	101	489	-9	-756	1639	0	88
1566	-8690	5953	9398	-4634	-915	1146	-570	-467	103	491	-11	-698	1598	0	88
1587	-8601	6200	9468	-4747	-798	1064	620	-465	102	491	-10	-666	1612	-158	88
1611	-7792	6091	8669	-4752	-1069	1222	290	-467	106	491	-16	-595	1511	-183	88
1644	-7098	5832	7948	-4594	-843	1462	-750	-466	116	493	-27	-514	1413	-209	88
1674	-7211	6055	8089	-4859	-888	1004	-200	-461	135	487	-33	-495	1419	-213	88
1704	-6808	6312	7739	-5146	-947	773	60	-459	134	485	-40	-420	1380	-242	88
1764	-5068	5851	5950	-4948	-668	1167	700	-449	125	477	-36	-225	1119	-288	88
1791	-4570	6026	5471	-5229	-1201	1058	-660	-446	119	470	-31	-180	1065	-282	88
1809	-3917	5634	4781	-4921	-739	1408	-710	-440	114	464	-28	-106	953	-311	88
1830	-3213	5600	4071	-5022	-830	1247	150	-433	114	455	-28	-20	836	-323	88
1860	3168	5553	3466	-5073	-769	915	-240	-425	109	446	-33	58	713	-342	88
1884	3872	5291	-3110	-4931	-771	977	-440	-397	108	432	-35	132	576	-375	88
1902	4151	5113	-3435	-4770	-693	1059	630	-363	101	410	-37	165	503	-405	88
1932	5092	4252	-4469	-4049	-744	1444	830	-310	102	354	-46	210	268	-460	88
1950	4708	4096	-4202	-3884	-370	774	-300	-281	94	335	-47	189	205	-456	88
1968	4899	3302	-4473	-3093	-501	1191	1480	-241	91	289	-52	130	85	-480	88
1992	4844	3293	-4378	-3084	-501	1191	1480	-226	94	261	-54	130	85	-480	88
2019	5912	4976	-5135	-4895	-262	636	460	-213	96	250	-54	473	137	-550	88
2049	6855	5523	-5994	-5544	-212	602	750	-142	91	193	-65	685	61	-603	88
2085	7095	4922	-6275	-4952	95	683	-40	-119	95	161	-76	683	-61	-657	88
2112	7070	4778	-6273	-4811	-27	325	-240	-92	101	130	-91	671	-127	-673	88
2136	7033	4592	-6235	-4623	148	339	-150	-81	102	108	-94	666	-154	-672	88
2160	7050	4214	-6313	-4258	251	408	-30	-55	102	83	-96	646	-218	-684	88
2178	6931	4357	-6219	-4444	135	122	-1420	-49	102	75	-96	647	-214	-643	88
2208	6831	4180	-6118	-4215	301	159	740	-16	99	41	-100	637	-241	-669	88
2244	6731	3890	-6084	-3967	516	198	-560	4	100	19	-96	622	-277	-651	88
2274	6733	3968	-6090	-4062	125	-16	130	26	98	-1	-96	611	-299	-654	88
2292	6752	3546	-6171	-3660	303	251	-260	39	99	-14	-93	586	-342	-657	88
2310	6629	3835	-6044	-3978	83	-141	-790	48	98	-22	-91	594	-329	-634	88
2328	6511	3429	-5985	-3553	559	32	560	58	97	-31	-89	573	-362	-638	88
2358	6442	3459	-5966	-3625	348	-175	-370	70	94	-42	-90	562	-377	-595	88
2379	6850	3239	-6406	-3487	357	69	-630	71	94	-46	-90	594	-437	-580	88
2397	6808	3260	-6364	-3504	357	69	-630	83	88	-58	-85	594	-437	-580	88
2433	7123	3500	-6690	-3848	364	-230	-210	98	87	-70	-85	673	-481	-550	88
2457	7588	3491	-7149	-3925	250	95	-700	104	84	-77	-80	725	-511	-538	88
2487	7871	3566	-7420	-4049	248	34	-80	112	84	-85	-81	774	-547	-542	88
2517	8133	3655	-7731	-4242	653	-24	-610	126	83	-93	-81	860	-580	-494	88
2547	8497	3867	-8063	-4511	307	-187	250	134	81	-101	-82	908	-617	-500	88
2583	8731	3972	-8318	-4715	482	-80	-500	147	83	-114	-82	975	-624	-445	88
2607	9116	4208	-8686	-5039	170	-106	-460	156	82	-123	-83	1034	-645	-418	88
2628	9033	4342	-8635	-5216	501	-346	-1170	161	84	-125	-84	1072	-640	-379	88
