2839,-4028,-4429,-4470,-4076,5,28,-1697,1,1,1,1,-5,-13,31,-15
2856,-3990,-4671,-4516,-3806,10,58,-1704,1,3,3,3,14,8,68,51
2886,-3701,-5197,-4838,-3287,21,117,-1706,-2,7,7,5,33,45,86,45
2904,-3561,-5451,-5027,-3078,26,147,-1709,-4,4,8,0,36,56,101,64
2921,-3308,-5677,-5230,3013,30,176,-1692,-6,-1,5,-3,47,86,107,45
2949,-2979,-5893,-5439,3363,32,206,-1668,-7,-11,-4,-4,39,99,110,56
2966,3289,-6268,-5812,3839,34,267,-1611,-8,-14,-11,-6,44,114,131,62
2994,3809,-6608,-6176,4334,32,328,-1560,-7,-19,-14,-7,61,146,144,71
3012,3864,-6570,-6148,4386,32,328,-1560,-6,-24,-17,-9,67,147,169,120
3029,4284,-6966,-6542,4824,32,388,-1528,-7,-38,-20,-7,61,145,179,156
3072,5108,-7272,-7133,5392,15,479,-1429,6,-70,-29,-7,82,176,209,121
3099,5042,-7357,-7175,5452,20,509,-1439,10,-76,-30,-6,72,158,209,109
3117,5108,-7506,-7287,5596,18,539,-1419,17,-86,-36,-5,90,180,240,108
3134,5108,-7688,-7402,5707,23,569,-1434,19,-94,-38,-4,105,204,238,109
3154,5461,-7918,-7778,5924,20,630,-1422,24,-99,-44,-4,113,244,270,129
3172,5387,-7888,-7878,5717,10,660,-1397,25,-99,-50,-3,104,259,304,134
3189,5447,-8111,-7942,5965,11,689,-1389,28,-101,-54,-3,120,285,315,139
3207,5572,-8380,-8053,6281,11,719,-1389,28,-102,-58,-4,135,323,345,225
3224,5877,-8588,-8291,6545,7,750,-1365,29,-103,-67,-6,137,376,343,217
3242,6058,-8827,-8485,6768,10,780,-1369,30,-103,-67,-8,144,396,377,249
3263,6462,-8909,-8760,6929,-2,810,-1340,31,-99,-72,-11,152,449,398,230
3280,6785,-9047,-8853,7285,-17,840,-1291,33,-97,-80,-12,166,459,437,308
3298,7206,-8970,-9097,7306,-40,869,-1251,32,-95,-87,-13,214,534,441,299
3315,7500,-9054,-9365,7356,-52,899,-1231,32,-94,-96,-14,237,595,500,464
3332,7878,-9188,-9685,7489,-66,928,-1206,36,-99,-107,-16,256,549,540,431
3353,8766,-9040,-10297,7462,-127,982,-1092,40,-103,-120,-14,320,532,668,517
3370,8998,-8999,-10442,7456,-146,1010,-1064,43,-109,-129,-10,437,564,887,500
3388,9457,-8930,-10707,7500,-175,1036,-1018,48,-119,-143,-6,447,521,974,512
3405,10163,-8602,-11074,7371,-225,1056,-942,60,-130,-161,-3,589,508,1011,449
